group,category,measure
Drama,1957,96.06
Drama,1958,96.89
Drama,1959,100.81
Drama,1960,102.19
Drama,1961,99.82
Drama,1962,104.44
Drama,1963,100.59
Drama,1964,100.73
Drama,1965,107.36
Drama,1966,100.43
Drama,1967,98.03
Drama,1968,100.79
Drama,1969,102.25
Drama,1970,101.92
Drama,1971,104.32
Drama,1972,103.5
Drama,1973,101.37
Drama,1974,101.29
Drama,1975,103.63
Drama,1976,101.86
Drama,1977,105.48
Drama,1978,102.34
Drama,1979,104.45
Drama,1980,103.93
Drama,1981,106.33
Drama,1982,104.67
Drama,1983,105.43
Drama,1984,104.13
Drama,1985,105.18
Drama,1986,101.02
Drama,1987,100.59
Drama,1988,102.88
Drama,1989,102.43
Drama,1990,104.94
Drama,1991,103.99
Drama,1992,103.14
Drama,1993,105.77
Drama,1994,99.68
Drama,1995,99.52
Drama,1996,98.92
Drama,1997,97.67
Drama,1998,95.97
Drama,1999,94.65
Drama,2000,93.85
Drama,2001,92.59
Drama,2002,90.72
Drama,2003,88.24
Drama,2004,91.06
Drama,2005,94
Documentary,1893,
Documentary,1894,1
Documentary,1895,1
Documentary,1896,1
Documentary,1897,1
Documentary,1898,1
Documentary,1899,1.25
Documentary,1900,1.4
Documentary,1901,1.56
Documentary,1902,1
Documentary,1903,2.25
Documentary,1904,1.5
Documentary,1905,9
Documentary,1906,4
Documentary,1907,
Documentary,1908,7
Documentary,1909,
Documentary,1910,6.5
Documentary,1911,7
Documentary,1912,
Documentary,1913,78
Documentary,1914,47
Documentary,1915,4
Documentary,1916,
Documentary,1917,
Documentary,1918,133
Documentary,1919,57.5
Documentary,1920,
Documentary,1921,
Documentary,1922,79
Documentary,1923,8
Documentary,1924,
Documentary,1925,51.5
Documentary,1926,65
Documentary,1927,36
Documentary,1928,29.5
Documentary,1929,38.82
Documentary,1930,45
Documentary,1931,11.2
Documentary,1932,18.5
Documentary,1933,17.71
Documentary,1934,30
Documentary,1935,19.54
Documentary,1936,17.5
Documentary,1937,13.7
Documentary,1938,14.82
Documentary,1939,15.3
Documentary,1940,14.69
Documentary,1941,29.56
Documentary,1942,22
Documentary,1943,35.69
Documentary,1944,36.71
Documentary,1945,42.77
Documentary,1946,28.58
Documentary,1947,29.43
Documentary,1948,39.33
Documentary,1949,21
Documentary,1950,20.55
Documentary,1951,14.08
Documentary,1952,46.92
Documentary,1953,38.54
Documentary,1954,32.5
Documentary,1955,27.93
Documentary,1956,45.29
Documentary,1957,38.62
Documentary,1958,56.6
Documentary,1959,52.08
Documentary,1960,59.92
Documentary,1961,56.08
Documentary,1962,59.18
Documentary,1963,70
Documentary,1964,88.29
Documentary,1965,46.69
Documentary,1966,51
Documentary,1967,59.84
Documentary,1968,54.11
Documentary,1969,61.09
Documentary,1970,72.97
Documentary,1971,62.8
Documentary,1972,79.68
Documentary,1973,67.88
Documentary,1974,80.93
Documentary,1975,70.19
Documentary,1976,80.55
Documentary,1977,83.46
Documentary,1978,76.46
Documentary,1979,84.26
Documentary,1980,72.58
Documentary,1981,84.19
Documentary,1982,70.65
Documentary,1983,80.71
Documentary,1984,72.69
Documentary,1985,84.67
Documentary,1986,79.45
Documentary,1987,94.35
Documentary,1988,82.71
Documentary,1989,86.7
Documentary,1990,76.54
Documentary,1991,83.26
Documentary,1992,80.46
Documentary,1993,77.13
Documentary,1994,75.14
Documentary,1995,80.54
Documentary,1996,74.56
Documentary,1997,77.06
Documentary,1998,76.4
Documentary,1999,75.74
Documentary,2000,78.7
Documentary,2001,77.8
Documentary,2002,76.64
Documentary,2003,81.08
Documentary,2004,79.45
Documentary,2005,80.89
Romance,1893,
Romance,1894,
Romance,1895,
Romance,1896,
Romance,1897,
Romance,1898,
Romance,1899,
Romance,1900,
Romance,1901,1
Romance,1902,
Romance,1903,3
Romance,1904,
Romance,1905,
Romance,1906,
Romance,1907,
Romance,1908,
Romance,1909,12
Romance,1910,16.67
Romance,1911,18
Romance,1912,19.4
Romance,1913,
Romance,1914,
Romance,1915,
Romance,1916,48
Romance,1917,65.5
Romance,1918,61
Romance,1919,67.6
Romance,1920,83
Romance,1921,78
Romance,1922,73.63
Romance,1923,79.64
Romance,1924,83.43
Romance,1925,105.8
Romance,1926,81.76
Romance,1927,87.81
Romance,1928,80
Romance,1929,84.36
Romance,1930,81.13
Romance,1931,78.4
Romance,1932,76.36
Romance,1933,80.65
Romance,1934,78.82
Romance,1935,79.63
Romance,1936,89.94
Romance,1937,84.53
Romance,1938,82.58
Romance,1939,94.66
Romance,1940,94.38
Romance,1941,90.26
Romance,1942,99
Romance,1943,104.27
Romance,1944,98.88
Romance,1945,103.93
Romance,1946,100.69
Romance,1947,100.02
Romance,1948,101.6
Romance,1949,99.79
Romance,1950,92.78
Romance,1951,99.1
Romance,1952,99.19
Romance,1953,98.23
Romance,1954,100.66
Romance,1955,101.51
Romance,1956,104.05
Romance,1957,108.64
Romance,1958,110.1
Romance,1959,104.98
Romance,1960,114.43
Romance,1961,105.03
Romance,1962,115.07
Romance,1963,111.19
Romance,1964,102.82
Romance,1965,114.15
Romance,1966,111.45
Romance,1967,106.92
Romance,1968,108.31
Romance,1969,110.16
Romance,1970,105.75
Romance,1971,104.4
Romance,1972,113.84
Romance,1973,116.23
Romance,1974,103.28
Romance,1975,119.72
Romance,1976,108.15
Romance,1977,110.93
Romance,1978,102.4
Romance,1979,104.66
Romance,1980,102.12
Romance,1981,111.02
Romance,1982,104
Romance,1983,105.12
Romance,1984,104.91
Romance,1985,102.31
Romance,1986,100.52
Romance,1987,97.6
Romance,1988,100.3
Romance,1989,99
Romance,1990,101.15
Romance,1991,108.33
Romance,1992,110.29
Romance,1993,108.73
Romance,1994,102.76
Romance,1995,100.47
Romance,1996,102.76
Romance,1997,99.97
Romance,1998,102.06
Romance,1999,98.45
Romance,2000,99.54
Romance,2001,97.24
Romance,2002,93.73
Romance,2003,98.26
Romance,2004,101.98
Romance,2005,101.46
Short,1893,1
Short,1894,1
Short,1895,1
Short,1896,1.33
Short,1897,1.00
Short,1898,1.00
Short,1899,2.63
Short,1900,1.44
Short,1901,1.89
Short,1902,3.56
Short,1903,2.41
Short,1904,4.24
Short,1905,6.47
Short,1906,7.60
Short,1907,7.33
Short,1908,9.04
Short,1909,9.41
Short,1910,15.12
Short,1911,15.71
Short,1912,16.50
Short,1913,16.14
Short,1914,17.66
Short,1915,18.94
Short,1916,24.38
Short,1917,24.07
Short,1918,18.32
Short,1919,18.10
Short,1920,22.92
Short,1921,21.82
Short,1922,18.14
Short,1923,15.18
Short,1924,19.17
Short,1925,16.71
Short,1926,18.77
Short,1927,16.75
Short,1928,16.42
Short,1929,14.65
Short,1930,12.54
Short,1931,12.12
Short,1932,10.99
Short,1933,12.98
Short,1934,13.71
Short,1935,11.66
Short,1936,10.83
Short,1937,10.41
Short,1938,9.94
Short,1939,9.76
Short,1940,9.77
Short,1941,9.59
Short,1942,9.67
Short,1943,11.36
Short,1944,10.12
Short,1945,11.31
Short,1946,10.50
Short,1947,9.64
Short,1948,9.51
Short,1949,9.07
Short,1950,8.75
Short,1951,9.16
Short,1952,9.79
Short,1953,11.64
Short,1954,9.26
Short,1955,10.06
Short,1956,10.82
Short,1957,10.72
Short,1958,10.13
Short,1959,12.48
Short,1960,12.21
Short,1961,12.18
Short,1962,13.21
Short,1963,14.79
Short,1964,11.80
Short,1965,9.58
Short,1966,12.09
Short,1967,13.10
Short,1968,12.09
Short,1969,13.16
Short,1970,19.27
Short,1971,17.10
Short,1972,15.44
Short,1973,18.63
Short,1974,15.24
Short,1975,16.55
Short,1976,18.03
Short,1977,15.15
Short,1978,15.63
Short,1979,18.69
Short,1980,17.45
Short,1981,14.86
Short,1982,24.38
Short,1983,21.27
Short,1984,19.71
Short,1985,15.73
Short,1986,15.73
Short,1987,16.91
Short,1988,16.78
Short,1989,14.51
Short,1990,17.10
Short,1991,17.51
Short,1992,17.89
Short,1993,16.68
Short,1994,17.37
Short,1995,19.44
Short,1996,17.13
Short,1997,15.85
Short,1998,16.44
Short,1999,15.78
Short,2000,15.71
Short,2001,16.08
Short,2002,15.91
Short,2003,15.21
Short,2004,16.89
Short,2005,16.56
All,1893,1.00
All,1894,1.00
All,1895,1.00
All,1896,1.31
All,1897,1.00
All,1898,1.00
All,1899,2.44
All,1900,1.44
All,1901,2.00
All,1902,3.56
All,1903,2.41
All,1904,4.24
All,1905,6.47
All,1906,11.35
All,1907,7.33
All,1908,9.04
All,1909,9.27
All,1910,15.12
All,1911,18.23
All,1912,24.38
All,1913,35.53
All,1914,41.00
All,1915,39.28
All,1916,47.45
All,1917,51.97
All,1918,53.27
All,1919,53.46
All,1920,70.16
All,1921,65.49
All,1922,74.19
All,1923,60.81
All,1924,69.82
All,1925,64.78
All,1926,69.68
All,1927,68.47
All,1928,66.06
All,1929,64.61
All,1930,62.05
All,1931,62.94
All,1932,58.40
All,1933,61.89
All,1934,63.39
All,1935,63.07
All,1936,60.39
All,1937,64.58
All,1938,63.07
All,1939,64.22
All,1940,66.11
All,1941,66.30
All,1942,63.94
All,1943,67.02
All,1944,69.03
All,1945,70.01
All,1946,69.06
All,1947,74.18
All,1948,71.37
All,1949,73.51
All,1950,72.01
All,1951,72.64
All,1952,75.78
All,1953,75.36
All,1954,75.37
All,1955,79.26
All,1956,79.48
All,1957,81.17
All,1958,84.14
All,1959,86.77
All,1960,90.30
All,1961,87.06
All,1962,90.03
All,1963,90.49
All,1964,90.06
All,1965,83.63
All,1966,83.63
All,1967,88.10
All,1968,87.14
All,1969,92.79
All,1970,98.34
All,1971,92.97
All,1972,93.23
All,1973,94.09
All,1974,93.78
All,1975,93.68
All,1976,94.18
All,1977,95.83
All,1978,93.88
All,1979,94.97
All,1980,95.13
All,1981,96.26
All,1982,93.54
All,1983,94.90
All,1984,93.53
All,1985,92.98
All,1986,92.24
All,1987,97.81
All,1988,92.98
All,1989,93.24
All,1990,93.81
All,1991,92.80
All,1992,92.72
All,1993,92.04
All,1994,88.44
All,1995,87.83
All,1996,85.93
All,1997,85.42
All,1998,83.41
All,1999,80.25
All,2000,79.17
All,2001,79.17
All,2002,77.12
All,2003,75.85
All,2004,78.83
All,2005,86.15
